raceId,driverId,stop,lap
852,20,1,5
852,815,1,5
852,10,2,6
852,4,1,8
852,811,2,8
852,13,1,9
852,1,1,10
852,3,1,11
852,24,1,11
852,808,1,12
852,813,1,12
852,20,2,13
852,16,1,13
852,22,1,13
852,30,2,13
852,18,2,13
852,817,1,13
852,15,1,13
852,816,1,13
852,5,2,13
852,155,1,14
852,814,1,14
852,10,3,14
852,811,3,21
852,815,2,22
852,815,3,23
852,24,2,27
852,4,2,29
852,813,2,29
852,155,2,29
852,20,3,30
852,3,2,30
852,13,2,30
852,808,2,30
852,814,2,30
852,17,2,31
852,16,2,31
852,30,3,31
852,22,2,31
852,15,2,31
852,18,3,32
852,13,3,32
852,5,3,33
852,10,4,35
852,816,2,36
852,22,3,40
853,155,1,1
853,22,1,1
853,811,1,2
853,817,1,1
853,15,1,5
853,814,1,13
853,30,1,16
853,67,1,16
853,18,1,17
853,1,1,18
853,155,2,18
853,4,1,19
853,813,1,19
853,811,2,19
853,20,1,20
853,153,1,20
853,10,1,20
853,13,1,21
853,5,1,21
853,15,2,24
853,814,2,31
853,22,2,32
853,18,2,33
853,817,2,20
853,4,2,34
853,1,2,34
853,20,2,35
853,5,2,35
853,30,2,37
853,813,2,37
853,10,2,38
853,67,2,40
853,811,3,40
853,13,2,41
853,153,2,41
854,817,1,1
854,3,1,9
854,4,1,10
854,30,1,10
854,811,1,10
854,13,1,11
854,1,1,11
854,16,1,11
854,813,1,11
854,67,1,11
854,5,1,11
854,811,2,11
854,17,1,12
854,22,1,12
854,13,2,12
854,1,2,13
854,24,1,13
854,20,1,14
854,18,1,14
854,815,1,15
854,1,3,15
854,155,1,16
854,15,1,16
854,808,1,16
854,817,2,15
854,816,1,16
854,153,1,17
854,814,1,19
854,15,2,19
854,3,2,22
854,30,2,24
854,13,3,24
854,153,2,24
854,4,2,25
854,813,2,25
854,5,2,26
854,24,2,26
854,17,2,29
854,816,2,28
854,814,2,29
854,16,2,29
854,3,3,29
854,815,2,29
854,817,3,27
854,811,3,28
854,1,4,29
854,20,2,30
854,155,2,29
854,18,2,30
854,808,2,29
854,22,2,30
854,67,2,31
854,153,3,35
854,155,3,40
854,13,4,41
854,813,3,45
854,15,3,44
854,17,3,47
854,24,3,45
854,18,3,48
854,1,5,48
854,5,3,47
854,20,3,49
854,808,3,47
854,4,3,49
854,67,3,49
854,24,4,46
854,811,4,48
854,155,4,53
855,1,1,8
855,16,1,8
855,24,1,8
855,20,1,9
855,30,1,9
855,18,1,10
855,4,1,10
855,17,1,10
855,814,1,10
855,155,1,10
855,5,1,10
855,13,1,11
855,67,1,11
855,15,1,11
855,817,1,11
855,22,1,12
855,3,1,12
855,10,1,12
855,816,1,13
855,811,1,15
855,813,1,16
855,153,1,17
855,808,1,18
855,20,2,19
855,17,2,19
855,18,2,20
855,10,2,19
855,815,1,20
855,4,2,21
855,1,2,21
855,13,2,22
855,5,2,22
855,817,2,22
855,16,2,23
855,816,2,23
855,30,2,24
855,814,2,24
855,155,2,24
855,22,2,24
855,3,2,24
855,24,2,23
855,15,2,24
855,813,2,25
855,20,3,33
855,17,3,34
855,1,3,35
855,814,3,35
855,811,2,35
855,18,3,36
855,13,3,36
855,153,2,36
855,24,3,35
855,4,3,37
855,815,2,37
855,16,3,37
855,22,3,37
855,5,3,37
855,10,3,36
855,15,3,38
855,816,3,37
855,808,2,39
855,817,3,38
855,30,3,41
855,3,3,41
855,813,3,41
856,24,1,1
856,155,1,10
856,22,1,10
856,814,1,11
856,15,1,12
856,18,1,13
856,3,1,13
856,811,1,13
856,5,1,13
856,17,1,14
856,13,1,14
856,808,1,14
856,30,1,14
856,67,1,14
856,1,1,15
856,4,1,15
856,20,1,16
856,16,1,16
856,813,1,16
856,815,1,16
856,10,1,16
856,817,1,16
856,816,1,16
856,153,1,17
856,24,2,16
856,813,2,22
856,155,2,24
856,3,2,27
856,813,3,28
856,811,2,30
856,814,2,31
856,22,2,31
856,1,2,33
856,17,2,33
